internal_id, planet_name                  , star_name                  , num_stars, num_planets, num_moons, is_circumbinary, discovery_method             , discovery_year, discovery_locale, discovery_facility                            , discovery_telescope                                        , discovery_instrument                      , orbital_period       , orbit_radius    , radius_earth, mass_earth   , planet_density, eccentricity, insolation_flux, planet_temp, has_transit_variations, spectral_type   , star_temp, star_radius, star_mass, star_metallicity, star_luminosity, star_gravity, star_age, ra_deg     , dec_deg    , distance_pc  , star_brightness
       6036, WASP-63 b                    , WASP-63                    ,         1,           1,         0,               0, Transit                      ,           2012, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         4.37808000000,     0.0574000000,  15.80469000,  117.59710000,       0.173000,     0.000000,       1103.2708,     1469.91,                      0,                 ,   5550.00,    1.860000,  1.280000, 0.0800          , 0.44936        ,     4.010000,   8.3000,  94.3363562, -38.3233826,  290.68400000,      10.9185000
       6037, WASP-64 b                    , WASP-64                    ,         2,           1,         0,               0, Transit                      ,           2012, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         1.57329180000,     0.0264800000,  14.24700000,  403.94500000,       0.823000,     0.000000,       1563.6374,     1689.00,                      0, G7              ,   5400.00,    1.058000,  1.004000, -0.0800         , -0.02200       ,     4.392000,   1.2000, 101.1149223, -32.8583878,  369.92600000,      12.5257000
       6038, WASP-65 b                    , WASP-65                    ,         1,           1,         0,               0, Transit                      ,           2013, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         2.31142430000,     0.0334000000,  12.46400000,  492.62000000,       1.500000,     0.000000,        957.0053,     1480.00,                      0, G6              ,   5600.00,    1.010000,  0.930000, -0.0700         , 0.05497        ,     4.400000,   8.0000, 133.3242982, 8.5230171  ,  273.70300000,      11.7509000
       6039, WASP-66 b                    , WASP-66                    ,         1,           1,         0,               0, Transit                      ,           2012, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         4.08605000000,     0.0546000000,  15.69260000,  746.90050000,       1.144000,     0.000000,       1434.7739,     1569.70,                      0,                 ,   6600.00,    1.760000,  1.330000, -0.3100         , 0.63724        ,     4.300000,   3.7000, 158.2250301, -34.9899074,  500.25800000,      11.5904000
       6040, WASP-67 b                    , WASP-67                    ,         1,           1,         0,               0, Transit                      ,           2012, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         4.61442000000,     0.0517900000,  12.89035000,  136.66690000,       0.388000,     0.000000,        188.1062,     1003.00,                      0,                 ,   5200.00,    0.880000,  0.910000, -0.0700         , -0.29441       ,     4.350000,  12.6000, 295.7438485, -19.9497314,  189.46900000,      11.9141000
       6041, WASP-68 b                    , WASP-68                    ,         2,           1,         0,               0, Transit                      ,           2014, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         5.08430000000,     0.0620600000,  14.79588000,  343.25640000,       0.665000,     0.000000,        843.4794,     1490.00,                      0, G0              ,   5910.00,    1.790000,  1.490000, 0.2200          , 0.50500        ,     4.170000,   5.7000, 305.0957239, -19.3147271,  226.39900000,      10.4092000
       6042, WASP-69 b                    , WASP-69                    ,         1,           1,         0,               0, Transit                      ,           2014, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         3.86813881000,     0.0453000000,  11.21000000,   82.58000000,       0.291000,     0.000000,        180.5564,      971.00,                      0, K               ,   4792.00,    0.801000,  0.830000, 0.3500          , -0.48149       ,     4.570000,   1.8000, 315.0259661, -5.0948570 ,   49.96050000,       9.4846600
       6043, WASP-7 b                     , WASP-7                     ,         1,           1,         0,               0, Transit                      ,           2008, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         4.95464160000,     0.0617000000,  14.90797000,  305.11680000,       0.550000,     0.034000,        612.6860,     1487.00,                      0,                 ,   6400.00,    1.432000,  1.276000, 0.0000          , 0.53682        ,     4.232000,   2.4000, 311.0427558, -39.2254856,  162.30300000,       9.3767100
       6044, WASP-70 A b                  , WASP-70 A                  ,         2,           1,         0,               0, Transit                      ,           2014, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         3.71302030000,     0.0485300000,  13.04700000,  187.51200000,       0.499000,     0.000000,        649.1548,     1387.00,                      0, G4              ,   5763.00,    1.215000,  1.106000, -0.0060         , 0.16240        ,     4.314000,   9.5000, 315.4771912, -13.4333821,  222.35500000,      11.0323000
       6045, WASP-71 b                    , WASP-71                    ,         1,           1,         0,               0, Transit                      ,           2012, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         2.90367000000,     0.0460000000,  13.22662000,  441.78370000,       1.100000,     0.000000,       3384.6097,     2016.10,                      0, F8              ,   6050.00,    1.820000,  0.760000, 0.1500          , 0.76845        ,     3.900000,   3.0000,  29.2634506, 0.7588247  ,  362.71500000,      10.5678000
       6046, WASP-72 b                    , WASP-72                    ,         1,           1,         0,               0, Transit                      ,           2012, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         2.21673000000,     0.0371100000,  14.45961000,  731.00900000,       0.870000,     0.000000,       6233.7915,     2210.00,                      0, F7              ,   6250.00,    2.180000,  2.780000, -0.0600         , 0.72400        ,     4.090000,   3.2000,  41.0400779, -30.1690785,  434.75400000,      10.8378000
       6047, WASP-73 b                    , WASP-73                    ,         1,           1,         0,               0, Transit                      ,           2014, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         4.08722000000,     0.0551200000,  15.91678000,  908.99380000,       1.596000,     0.000000,       2242.3605,     1790.00,                      0, F9              ,   6030.00,    2.550000,  2.520000, 0.1400          , 0.79502        ,     3.930000,   4.3000, 319.9496969, -58.1489328,  316.67800000,      10.2607000
